"UserID","Date","Time","SleepingTime","BabyID"
"1469675","2015-08-06","16:15:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-08-06","19:30:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-08-06","21:15:00+02:00",35100,"HPT2_NR_30"
"1469675","2015-08-07","08:30:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-07","10:15:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-08-07","12:30:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-08-07","15:30:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-07","20:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-07","22:00:00+02:00",32400,"HPT2_NR_30"
"1469675","2015-08-08","09:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-08","11:30:00+02:00",6300,"HPT2_NR_30"
"1469675","2015-08-08","14:15:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-08","17:45:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-08-08","20:30:00+02:00",42300,"HPT2_NR_30"
"1469675","2015-08-09","10:15:00+02:00",3600,"HPT2_NR_30"
"1469675","2015-08-09","12:30:00+02:00",7200,"HPT2_NR_30"
"1469675","2015-08-09","16:30:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-09","19:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-09","21:00:00+02:00",43200,"HPT2_NR_30"
"1469675","2015-08-10","14:30:00+02:00",7200,"HPT2_NR_30"
"1469675","2015-08-10","18:45:00+02:00",3600,"HPT2_NR_30"
"1469675","2015-08-10","20:30:00+02:00",41400,"HPT2_NR_30"
"1469675","2015-08-11","09:15:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-08-11","12:15:00+02:00",8100,"HPT2_NR_30"
"1469675","2015-08-11","15:45:00+02:00",9000,"HPT2_NR_30"
"1469675","2015-08-11","20:30:00+02:00",30600,"HPT2_NR_30"
"1469675","2015-08-12","05:30:00+02:00",10800,"HPT2_NR_30"
"1469675","2015-08-12","11:00:00+02:00",10800,"HPT2_NR_30"
"1469675","2015-08-12","15:30:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-08-12","18:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-12","21:30:00+02:00",37800,"HPT2_NR_30"
"1469675","2015-08-13","09:45:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-08-13","12:15:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-08-13","13:30:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-13","16:00:00+02:00",900,"HPT2_NR_30"
"1469675","2015-08-13","17:30:00+02:00",9000,"HPT2_NR_30"
"1469675","2015-08-13","22:15:00+02:00",31500,"HPT2_NR_30"
"1469675","2015-08-14","09:00:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-08-14","11:15:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-08-14","12:45:00+02:00",7200,"HPT2_NR_30"
"1469675","2015-08-14","17:00:00+02:00",3600,"HPT2_NR_30"
"1469675","2015-08-14","20:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-14","21:30:00+02:00",34200,"HPT2_NR_30"
"1469675","2015-08-15","09:30:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-15","11:15:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-15","12:15:00+02:00",9000,"HPT2_NR_30"
"1469675","2015-08-15","17:00:00+02:00",5400,"HPT2_NR_30"
"1469675","2015-08-15","20:30:00+02:00",41400,"HPT2_NR_30"
"1469675","2015-08-16","10:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-16","12:15:00+02:00",6300,"HPT2_NR_30"
"1469675","2015-08-16","16:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-16","17:15:00+02:00",900,"HPT2_NR_30"
"1469675","2015-08-16","19:00:00+02:00",1800,"HPT2_NR_30"
"1469675","2015-08-16","20:30:00+02:00",37800,"HPT2_NR_30"
"1469675","2015-08-17","08:45:00+02:00",6300,"HPT2_NR_30"
"1469675","2015-08-17","12:00:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-08-17","14:15:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-08-17","16:45:00+02:00",2700,"HPT2_NR_30"
"1469675","2015-08-17","21:30:00+02:00",34200,"HPT2_NR_30"
"1469675","2015-08-18","08:30:00+02:00",3600,"HPT2_NR_30"
"1469675","2015-08-18","11:00:00+02:00",7200,"HPT2_NR_30"
"1469675","2015-08-18","15:00:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-08-18","18:00:00+02:00",4500,"HPT2_NR_30"
"1469675","2015-08-18","22:00:00+02:00",23400,"HPT2_NR_30"
"1469675","2015-08-19","05:00:00+02:00",9900,"HPT2_NR_30"
